时间(秒),抬头率(%),检测到的人脸数,抬头人数,低头人数,趴卧人数,举手人数,总人数
96.2,66.7,0,0,0,0,0,3
96.8,66.7,0,0,0,0,0,3
97.3,66.7,0,0,0,0,0,3
97.8,66.7,0,0,0,0,0,3
98.3,66.7,0,0,0,0,0,3
98.9,66.7,0,0,0,0,0,3
99.4,66.7,0,0,0,0,0,3
100.0,66.7,0,0,0,0,0,3
100.5,66.7,0,0,0,0,0,3
101.0,66.7,0,0,0,0,0,3
101.5,66.7,0,0,0,0,0,3
102.1,66.7,0,0,0,0,0,3
102.6,66.7,0,0,0,0,0,3
103.1,66.7,0,0,0,0,0,3
103.6,66.7,0,0,0,0,0,3
104.2,66.7,0,0,0,0,0,3
104.7,66.7,0,0,0,0,0,3
105.3,66.7,0,0,0,0,0,3
105.8,33.3,0,0,0,0,0,3
106.3,33.3,0,0,0,0,0,3
107.0,0.0,0,0,0,0,0,3
107.5,0.0,0,0,0,0,0,3
108.0,0.0,0,0,0,0,0,3
108.5,0.0,0,0,0,0,0,3
109.1,33.3,0,0,0,0,0,3
109.6,33.3,0,0,0,0,0,3
110.1,66.7,0,0,0,0,0,3
110.6,66.7,0,0,0,0,0,3
111.1,66.7,0,0,0,0,0,3
111.6,66.7,0,0,0,0,0,3
112.2,66.7,0,0,0,0,0,3
112.7,66.7,0,0,0,0,0,3
113.2,66.7,0,0,0,0,0,3
113.7,66.7,0,0,0,0,0,3
114.3,66.7,0,0,0,0,0,3
114.8,66.7,0,0,0,0,0,3
115.3,33.3,0,0,0,0,0,3
115.9,33.3,0,0,0,0,0,3
116.4,33.3,0,0,0,0,0,3
116.9,33.3,0,0,0,0,0,3
117.5,66.7,0,0,0,0,0,3
118.0,33.3,0,0,0,0,0,3
118.6,0.0,0,0,0,0,0,3
119.1,0.0,0,0,0,0,0,3
119.6,0.0,0,0,0,0,0,3
120.1,0.0,0,0,0,0,0,3
120.6,0.0,0,0,0,0,0,3
121.1,0.0,0,0,0,0,0,3
121.7,0.0,0,0,0,0,0,3
122.2,0.0,0,0,0,0,0,3
