时间(秒),抬头率(%),检测到的人脸数,抬头人数,低头人数,趴卧人数,举手人数,总人数
18.2,50.0,1,0,0,0,0,2
18.7,50.0,1,0,0,0,0,2
19.3,50.0,1,0,0,0,0,2
19.8,50.0,1,0,0,0,0,2
20.3,50.0,1,0,0,0,0,2
20.9,50.0,1,0,0,0,0,2
21.4,50.0,1,0,0,0,0,2
21.9,0.0,1,0,0,0,0,2
22.4,50.0,1,0,0,0,0,2
23.0,50.0,1,0,0,0,0,2
23.5,50.0,1,0,0,0,0,2
24.0,50.0,1,0,0,0,0,2
24.5,50.0,1,0,0,0,0,2
25.0,50.0,1,0,0,0,0,2
25.6,50.0,1,0,0,0,0,2
26.1,50.0,1,0,0,0,0,2
26.7,50.0,1,0,0,0,0,2
27.2,50.0,1,0,0,0,0,2
27.7,50.0,1,0,0,0,0,2
28.2,50.0,1,0,0,0,0,2
28.8,50.0,1,0,0,0,0,2
29.3,50.0,1,0,0,0,0,2
29.8,50.0,1,0,0,0,0,2
30.3,50.0,1,0,0,0,0,2
30.8,50.0,1,0,0,0,0,2
31.3,50.0,1,0,0,0,0,2
31.9,0.0,1,0,0,0,0,2
32.4,0.0,1,0,0,0,0,2
32.9,50.0,1,0,0,0,0,2
33.4,50.0,1,0,0,0,0,2
34.0,0.0,1,0,0,0,0,2
34.5,50.0,1,0,0,0,0,2
35.0,0.0,1,0,0,0,0,2
35.5,50.0,1,0,0,0,0,2
36.0,50.0,1,0,0,0,0,2
36.5,50.0,1,0,0,0,0,2
37.1,50.0,1,0,0,0,0,2
37.6,50.0,1,0,0,0,0,2
38.1,50.0,1,0,0,0,0,2
38.7,50.0,1,0,0,0,0,2
39.2,50.0,1,0,0,0,0,2
39.7,50.0,1,0,0,0,0,2
40.2,50.0,1,0,0,0,0,2
40.7,50.0,1,0,0,0,0,2
41.2,0.0,1,0,0,0,0,2
41.7,50.0,1,0,0,0,0,2
42.2,50.0,1,0,0,0,0,2
42.8,50.0,1,0,0,0,0,2
43.3,50.0,1,0,0,0,0,2
43.9,50.0,1,0,0,0,0,2
